tick,total_rumor_spreaders,new_rumor_spreaders
0,5,5
1,5,0
2,5,0
3,6,1
4,6,0
5,6,0
6,6,0
7,8,2
8,8,0
9,9,1
10,10,1
11,11,1
12,13,2
13,13,0
14,13,0
15,14,1
16,14,0
17,15,1
18,15,0
19,15,0
20,16,1
21,18,2
22,18,0
23,19,1
24,20,1
25,21,1
26,22,1
27,22,0
28,22,0
29,22,0
30,22,0
31,22,0
32,22,0
33,22,0
34,24,2
35,24,0
36,24,0
37,24,0
38,24,0
39,24,0
40,24,0
41,24,0
42,24,0
43,25,1
44,26,1
45,28,2
46,28,0
47,28,0
48,28,0
49,28,0
50,28,0
51,29,1
52,29,0
53,29,0
54,30,1
55,30,0
56,32,2
57,33,1
58,34,1
59,36,2
60,37,1
61,39,2
62,41,2
63,43,2
64,44,1
65,44,0
66,45,1
67,45,0
68,46,1
69,47,1
70,49,2
71,51,2
72,52,1
73,55,3
74,58,3
75,62,4
76,63,1
77,67,4
78,69,2
79,70,1
80,71,1
81,74,3
82,80,6
83,84,4
84,86,2
85,89,3
86,90,1
87,93,3
88,97,4
89,100,3
90,100,0
91,101,1
92,103,2
93,107,4
94,111,4
95,113,2
96,117,4
97,121,4
98,123,2
99,126,3
100,127,1
