tick,total_rumor_spreaders,new_rumor_spreaders,time
0,5,5,427
1,6,1,427
2,6,0,427
3,7,1,427
4,7,0,427
5,8,1,427
6,8,0,427
7,8,0,427
8,9,1,427
9,9,0,427
10,10,1,427
11,10,0,427
12,10,0,427
13,10,0,427
14,11,1,427
15,11,0,427
16,11,0,427
17,14,3,427
18,15,1,427
19,15,0,427
20,17,2,427
21,19,2,427
22,21,2,427
23,23,2,427
24,26,3,427
25,27,1,427
26,28,1,427
27,28,0,427
28,28,0,427
29,29,1,427
30,31,2,427
31,32,1,427
32,35,3,427
33,36,1,427
34,37,1,427
35,38,1,427
36,39,1,427
37,42,3,427
38,43,1,427
39,45,2,427
40,47,2,427
41,48,1,427
42,52,4,427
43,52,0,427
44,55,3,427
45,55,0,427
46,57,2,427
47,57,0,427
48,59,2,427
49,61,2,427
50,65,4,427
51,68,3,427
52,70,2,427
53,72,2,427
54,74,2,427
55,79,5,427
56,83,4,427
57,84,1,427
58,87,3,427
59,90,3,427
60,93,3,427
61,96,3,427
62,98,2,427
63,103,5,427
64,104,1,427
65,107,3,427
66,109,2,427
67,112,3,427
68,113,1,427
69,115,2,427
70,119,4,427
71,123,4,427
72,125,2,427
73,132,7,427
74,135,3,427
75,138,3,427
76,141,3,427
77,145,4,427
78,148,3,427
79,150,2,427
80,155,5,427
81,159,4,427
82,162,3,427
83,163,1,427
84,167,4,427
85,169,2,427
86,172,3,427
87,172,0,427
88,176,4,427
89,179,3,427
90,181,2,427
91,186,5,427
92,188,2,427
93,191,3,427
94,195,4,427
95,200,5,427
96,203,3,427
97,209,6,427
98,210,1,427
99,213,3,427
100,215,2,427
