tick,total_rumor_spreaders,new_rumor_spreaders
0,5,5
1,5,0
2,5,0
3,6,1
4,8,2
5,9,1
6,9,0
7,11,2
8,13,2
9,15,2
10,15,0
11,16,1
12,16,0
13,17,1
14,17,0
15,17,0
16,18,1
17,20,2
18,21,1
19,22,1
20,25,3
21,29,4
22,31,2
23,32,1
24,34,2
25,35,1
26,39,4
27,39,0
28,39,0
29,41,2
30,42,1
31,43,1
32,43,0
33,44,1
34,45,1
35,46,1
36,47,1
37,49,2
38,49,0
39,49,0
40,50,1
41,52,2
42,54,2
43,54,0
44,54,0
45,54,0
46,54,0
47,56,2
48,58,2
49,58,0
50,58,0
51,60,2
52,62,2
53,64,2
54,65,1
55,67,2
56,69,2
57,69,0
58,71,2
59,72,1
60,73,1
61,77,4
62,78,1
63,81,3
64,85,4
65,89,4
66,91,2
67,93,2
68,93,0
69,95,2
70,99,4
71,101,2
72,105,4
73,108,3
74,110,2
75,115,5
76,118,3
77,121,3
78,123,2
79,125,2
80,127,2
81,132,5
82,136,4
83,141,5
84,142,1
85,146,4
86,153,7
87,157,4
88,158,1
89,162,4
90,166,4
91,169,3
92,174,5
93,176,2
94,180,4
95,180,0
96,182,2
97,189,7
98,191,2
99,194,3
100,197,3
